"사용일자","호선명","역명","승차총승객수","하차총승객수","등록일자"
"20230501","분당선","선릉","5565","8405","20230504"
"20230501","2호선","선릉","26036","23648","20230504"
"20230501","과천선","선바위","5799","5266","20230504"
"20230501","9호선","선유도","4639","4538","20230504"
"20230501","9호선2~3단계","선정릉","4362","4949","20230504"
"20230501","분당선","선정릉","3392","3325","20230504"
"20230501","경부선","성균관대","11816","12538","20230504"
"20230501","2호선","성수","24963","28582","20230504"
"20230501","4호선","성신여대입구(돈암)","20201","19714","20230504"
"20230501","우이신설선","성신여대입구(돈암)","3378","3859","20230504"
"20230501","경부선","성환","3890","4844","20230504"
"20230501","경부선","세류","2743","2596","20230504"
"20230501","경부선","세마","2591","2429","20230504"
"20230501","경강선","세종대왕릉","373","408","20230504"
"20230501","수인선","소래포구","7253","6755","20230504"
"20230501","경인선","소사","6960","6823","20230504"
"20230501","경원선","소요산","4211","3337","20230504"
"20230501","우이신설선","솔밭공원","2273","2035","20230504"
"20230501","우이신설선","솔샘","4442","4263","20230504"
"20230501","경인선","송내","19181","18733","20230504"
"20230501","수인선","송도","2380","2199","20230504"
"20230501","5호선","송정","5144","5102","20230504"
"20230501","경부선","송탄","4576","5291","20230504"
"20230501","8호선","송파","6825","6740","20230504"
"20230501","9호선2~3단계","송파나루","3806","4162","20230504"
"20230501","분당선","수내","9069","9057","20230504"
"20230501","7호선","수락산","10600","10275","20230504"
"20230501","안산선","수리산","4724","4832","20230504"
"20230501","경의선","수색","1528","1652","20230504"
"20230501","분당선","수서","10753","10804","20230504"
"20230501","3호선","수서","13914","14240","20230504"
"20230501","분당선","수원","7566","6713","20230504"
"20230501","경부선","수원","40019","39737","20230504"
"20230501","분당선","수원시청","10056","10410","20230504"
"20230501","4호선","수유(강북구청)","29612","29060","20230504"
"20230501","8호선","수진","4783","4403","20230504"
"20230501","4호선","숙대입구(갈월)","16803","12551","20230504"
"20230501","7호선","숭실대입구(살피재)","14621","15276","20230504"
"20230501","수인선","숭의","3182","2988","20230504"
"20230501","2호선","시청","14026","11776","20230504"
"20230501","1호선","시청","18779","22366","20230504"
"20230501","분당선","신갈","3070","3198","20230504"
"20230501","5호선","신금호","4711","5185","20230504"
"20230501","경부선","신길","6545","5768","20230504"
"20230501","5호선","신길","3052","3460","20230504"
"20230501","안산선","신길온천","1690","1594","20230504"
"20230501","경춘선","신내","1775","1704","20230504"
"20230501","9호선","신논현","21645","20860","20230504"
"20230501","2호선","신답","1083","1239","20230504"
"20230501","6호선","신당","7939","8227","20230504"
"20230501","2호선","신당","12195","13225","20230504"
"20230501","2호선","신대방","20364","19944","20230504"
"20230501","7호선","신대방삼거리","11093","10879","20230504"
"20230501","경부선","신도림","2687","2953","20230504"
"20230501","2호선","신도림","35377","35121","20230504"
"20230501","경강선","신둔도예촌","1405","1287","20230504"
"20230501","2호선","신림","44277","43769","20230504"
"20230501","신림선","신림","1501","2169","20230504"
"20230501","9호선","신목동","3321","2852","20230504"
"20230501","9호선","신반포","2729","3014","20230504"
"20230501","9호선","신방화","5053","5072","20230504"
"20230501","3호선","신사","20016","20784","20230504"
"20230501","우이신설선","신설동","1903","1846","20230504"
"20230501","2호선","신설동","3032","3038","20230504"
"20230501","1호선","신설동","10637","10215","20230504"
"20230501","4호선","신용산","12858","13006","20230504"
"20230501","중앙선","신원","416","344","20230504"
"20230501","경원선","신이문","6746","6365","20230504"
"20230501","5호선","신정(은행정)","9595","8359","20230504"
"20230501","2호선","신정네거리","8229","8338","20230504"
"20230501","장항선","신창(순천향대)","3074","3787","20230504"
"20230501","경의선","신촌","718","990","20230504"
"20230501","2호선","신촌","33744","34044","20230504"
"20230501","수인선","신포","1808","1899","20230504"
"20230501","7호선","신풍","8480","7985","20230504"
"20230501","8호선","신흥","4193","4361","20230504"
"20230501","4호선","쌍문","23172","21439","20230504"
"20230501","장항선","쌍용(나사렛대)","2305","2562","20230504"
"20230501","장항선","아산","5484","3777","20230504"
